Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Channel
900001,,4/17/2014,4/21/2014,Standard Class,JE-15745,Joel Eaton,Consumer,United States,San Jose,California,95123,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,1,0.15,-6.049,Online
900002,,11/3/2014,11/6/2014,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,OFF-EN-10004846,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,5.32,2,0.0,2.6068,Online
900003,,5/20/2014,5/24/2014,Standard Class,ND-18460,Neil Ducich,Corporate,United States,Huntsville,Alabama,35810,South,OFF-BI-10001787,Office Supplies,Binders,Wilson Jones Four-Pocket Poly Binders,26.16,4,0.0,12.8184,Online
900004,,8/2/2014,8/8/2014,Standard Class,AS-10045,Aaron Smayling,Corporate,United States,Austin,Texas,78745,Central,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,1439.982,3,0.4,-263.9967,Online
900005,,7/22/2014,7/22/2014,Same Day,SF-20200,Sarah Foster,Consumer,United States,Murray,Utah,84107,West,OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",25.99,1,0.0,7.5371,Store
900006,,9/1/2014,9/6/2014,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Lawrence,Indiana,46226,Central,OFF-AP-10002439,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,638.73,9,0.0,166.0698,Online
900007,,4/4/2014,4/8/2014,Standard Class,KH-16360,Katherine Hughes,Consumer,United States,Philadelphia,Pennsylvania,19143,East,FUR-FU-10001940,Furniture,Furnishings,Staples,25.472,4,0.2,7.6416,Telesales
900008,,8/8/2014,8/12/2014,Standard Class,CC-12475,Cindy Chapman,Consumer,United States,Moorhead,Minnesota,56560,Central,TEC-AC-10002006,Technology,Accessories,Memorex Micro Travel Drive 16 GB,63.96,4,0.0,19.8276,Store
900009,,12/19/2014,12/24/2014,Standard Class,BP-11290,Beth Paige,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",7.236,3,0.7,-6.03,Online
900010,,3/5/2014,3/10/2014,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77041,Central,OFF-PA-10000806,Office Supplies,Paper,Xerox 1934,89.568,2,0.2,32.4684,Store
900011,,12/3/2014,12/4/2014,Same Day,AM-10360,Alice McCarthy,Corporate,United States,Los Angeles,California,90032,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,10.08,6,0.0,5.04,Online
900012,,11/27/2014,12/1/2014,Standard Class,CC-12610,Corey Catlett,Corporate,United States,Columbus,Ohio,43229,East,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,213.136,7,0.2,23.9778,Online
900013,,9/3/2014,9/5/2014,Second Class,MH-17290,Marc Harrigan,Home Office,United States,Los Angeles,California,90008,West,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",43.1,5,0.0,11.206,Telesales
900014,,5/15/2014,5/16/2014,First Class,GT-14710,Greg Tran,Consumer,United States,Houston,Texas,77041,Central,OFF-AR-10001446,Office Supplies,Art,Newell 309,46.2,5,0.2,5.775,Store
900015,,10/10/2014,10/12/2014,Second Class,MB-17305,Maria Bertelson,Consumer,United States,League City,Texas,77573,Central,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,67.144,7,0.2,5.8751,Store
900016,,4/26/2014,4/27/2014,First Class,PN-18775,Parhena Norris,Home Office,United States,Nashville,Tennessee,37211,South,OFF-AR-10004078,Office Supplies,Art,Newell 312,42.048,9,0.2,5.256,Online
900017,,7/4/2014,7/10/2014,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Quincy,Massachusetts,2169,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,24.56,2,0.0,11.5432,Telesales
900018,,12/17/2014,12/22/2014,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,92054,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",97.184,2,0.2,6.074,Telesales
900019,,10/23/2014,10/25/2014,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,10024,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,63.9,5,0.0,28.755,Store
900020,,10/22/2014,10/22/2014,Same Day,SL-20155,Sara Luxemburg,Home Office,United States,Muskogee,Oklahoma,74403,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,1439.92,8,0.0,374.3792,Store
900021,,12/12/2014,12/18/2014,Standard Class,RB-19435,Richard Bierner,Consumer,United States,Plainfield,New Jersey,7060,East,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",22.75,7,0.0,6.5975,Telesales
900022,,3/19/2014,3/24/2014,Standard Class,CD-11980,Carol Darley,Consumer,United States,Tyler,Texas,75701,Central,FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",82.524,3,0.6,-41.262,Store
900023,,5/10/2014,5/11/2014,First Class,MC-17605,Matt Connell,Corporate,United States,Jacksonville,North Carolina,28540,South,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,207.0,3,0.2,25.875,Telesales
900024,,11/25/2014,12/2/2014,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Memphis,Tennessee,38109,South,OFF-BI-10000216,Office Supplies,Binders,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",11.673,3,0.7,-7.782,Store
900025,,11/12/2014,11/17/2014,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,90036,West,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,121.6,5,0.2,39.52,Telesales
900026,,12/12/2014,12/12/2014,Same Day,RR-19315,Ralph Ritter,Consumer,United States,Aurora,Illinois,60505,Central,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,77.72,1,0.6,-66.062,Store
900027,,7/3/2014,7/6/2014,First Class,AH-10120,Adrian Hane,Home Office,United States,Houston,Texas,77036,Central,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",163.96,5,0.2,59.4355,Online
900028,,9/6/2012,9/12/2012,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,New York City,New York,10011,East,TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,354.879,2,0.0,106.4637,Online
900029,,9/1/2014,9/3/2014,Second Class,BW-11110,Bart Watters,Corporate,United States,Spokane,Washington,99207,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",149.73,7,0.0,43.4217,Store
900030,,9/29/2014,10/2/2014,First Class,DS-13030,Darrin Sayre,Home Office,United States,Aurora,Colorado,80013,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,32.776,1,0.2,3.2776,Online
900031,CA-2015-600030,1/2/2014,1/6/2014,Standard Class,,Janet Martin,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141.42,5,0.6,-187.3815,Online
900032,CA-2015-600031,11/3/2014,11/5/2014,Second Class,,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,8.8,5,0.0,4.224,Telesales
900033,CA-2015-600032,7/27/2014,8/2/2014,Standard Class,,George Zrebassa,Corporate,United States,Los Angeles,California,90036,West,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",362.352,3,0.2,45.294,Telesales
